date,equity,cash,selected,positions,tax_paid,fees_paid,distributions_net
2025-02-21,939.5896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-24,953.2396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-25,964.1896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-26,976.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-27,1088.3896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-28,1100.6896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-05,1192.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-06,1175.6896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-07,1160.0896035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-10,1168.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-11,1153.1896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-12,1149.2896035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-13,1162.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-14,1178.0896035310504,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-17,1216.0396035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-18,1225.3396035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-19,1244.2396035310508,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-20,1164.2896035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-21,1176.2896035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-24,1123.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-25,1100.9896035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-26,1094.8396035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-27,1079.6896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-28,1050.2896035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-03-31,1041.1396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-01,1040.9896035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-02,1027.9396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-03,1005.2896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-04,955.0396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-07,956.5396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-08,963.8896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-09,991.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-10,968.6896035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-11,965.5396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-14,995.8396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-15,1024.6396035310509,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-16,991.0396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-17,1002.1396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-22,969.4396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-23,1001.6896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-24,1003.0396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-25,1007.6896035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-28,1015.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-29,1015.9396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-04-30,1028.6896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-02,1046.6896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-05,1043.8396035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-06,1051.7896035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-07,1065.1396035310504,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-08,1096.7896035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-09,1070.3896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-12,1076.5396035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-13,1094.6896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-14,1098.4396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-15,1102.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-16,1086.1396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-19,1114.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-20,1086.5896035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-21,1062.7396035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-22,1060.3396035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-23,1061.8396035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-26,1059.8896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-27,1080.8896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-28,1058.3896035310509,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-29,1051.3396035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-05-30,1037.2396035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-06-02,1067.7511949655031,52.55119496550333,MRFG3,1,0.0,10.155263188203024,0.0
2025-06-03,1062.9511949655034,52.55119496550333,MRFG3,1,0.0,10.155263188203024,0.0
2025-06-04,1062.9511949655034,52.55119496550333,MRFG3,1,0.0,10.155263188203024,0.0
