ticker,strategy,family,params,start,end,candles,trades,exposure,total_return,cagr,max_drawdown,sharpe,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return,train_cagr,train_total_return,train_trades,train_max_drawdown,train_ratio,fast,slow,signal_window,lookback,exit_lookback,rsi_period,lower,upper,trend_window,sma_window,stop_pct,window,num_std,exit_z,atr_period,atr_mult,max_hold,streak_rsi_period,rank_period,ibs_lower,ibs_upper,range_mult,volume_window,volume_mult,streak_length
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=3;trend_window=0;volume_window=0;volume_mult=0;max_hold=10,2024-04-15,2026-07-17,565,85,0.736283185840708,0.44034560275600554,0.1757853021487692,-0.26046593699803877,0.7443200232542088,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1540786071975364,,,,,0.7,,,,,,,,,0,,,,,,14,3.0,10,,,,,0.25,0,0.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=3;trend_window=0;volume_window=0;volume_mult=1;max_hold=10,2024-04-15,2026-07-17,565,85,0.736283185840708,0.44034560275600554,0.1757853021487692,-0.26046593699803877,0.7443200232542088,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1540786071975364,,,,,0.7,,,,,,,,,0,,,,,,14,3.0,10,,,,,0.25,0,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=3;trend_window=0;volume_window=20;volume_mult=0;max_hold=10,2024-04-15,2026-07-17,565,85,0.736283185840708,0.42296088258154185,0.16946578511755872,-0.2606289092181787,0.7251439046441662,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1714633273720001,,,,,0.7,,,,,,,,,0,,,,,,14,3.0,10,,,,,0.25,20,0.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=10;atr_mult=3;trend_window=50;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,30,0.4743362831858407,0.13380411812040505,0.05731440720127057,-0.23846759223788117,0.3643161334319933,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.4606200918331369,,,,,0.7,,,,,,,,,50,,,,,,10,3.0,20,,,,,0.25,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=10;atr_mult=2;trend_window=0;volume_window=20;volume_mult=1;max_hold=10,2024-04-15,2026-07-17,565,57,0.46194690265486726,0.42397746868509434,0.16983650241941017,-0.22189491570554742,0.8543195498044319,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1704467412684476,,,,,0.7,,,,,,,,,0,,,,,,10,2.0,10,,,,,0.25,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=2;trend_window=0;volume_window=20;volume_mult=1;max_hold=10,2024-04-15,2026-07-17,565,57,0.46194690265486726,0.42397746868509434,0.16983650241941017,-0.22189491570554742,0.8543195498044319,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1704467412684476,,,,,0.7,,,,,,,,,0,,,,,,14,2.0,10,,,,,0.25,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.5;atr_period=10;atr_mult=1.5;trend_window=200;volume_window=20;volume_mult=1;max_hold=10,2024-04-15,2026-07-17,565,33,0.23893805309734514,0.24574332250657038,0.10243121060261906,-0.14522167081394122,0.7016880613655054,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.34868088744697157,,,,,0.7,,,,,,,,,200,,,,,,10,1.5,10,,,,,0.5,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.5;atr_period=14;atr_mult=1.5;trend_window=200;volume_window=20;volume_mult=1;max_hold=10,2024-04-15,2026-07-17,565,33,0.23893805309734514,0.24574332250657038,0.10243121060261906,-0.14522167081394122,0.7016880613655054,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.34868088744697157,,,,,0.7,,,,,,,,,200,,,,,,14,1.5,10,,,,,0.5,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=3;trend_window=200;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,25,0.3911504424778761,0.4972386133511175,0.19617496290669423,-0.142527751921953,1.002602704708072,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.09718559660242443,,,,,0.7,,,,,,,,,200,,,,,,14,3.0,20,,,,,0.25,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=10;atr_mult=3;trend_window=0;volume_window=0;volume_mult=0;max_hold=10,2024-04-15,2026-07-17,565,87,0.7575221238938054,0.38660944203665704,0.156111447936935,-0.26198861050260325,0.6782387501245514,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.2078147679168849,,,,,0.7,,,,,,,,,0,,,,,,10,3.0,10,,,,,0.25,0,0.0,
