interval,strategy,status,tests,tickers_tested,winning_rows,winning_tickers_count,winning_tickers,best_ticker,best_label,best_return,best_cagr,best_mdd,best_bh_return,best_excess,best_win_ticker,best_win_label,best_win_return,best_win_cagr,best_win_mdd,best_win_bh_return,best_win_excess
4h_short,ibs_reversion,SUPEROU,210,7,29,2,MLAS3;TUPY3,GGBR3,ibs_reversion,0.0589837630634977,0.0197555812365788,-0.1821735577922053,0.1339645703508598,-0.0749808072873621,MLAS3,ibs_reversion,-0.0493997810563058,-0.0171449499363234,-0.2748002538620591,-0.4497563388397084,0.4003565577834026
4h_short,keltner_breakout,SUPEROU,2137,7,403,3,GGBR3;MLAS3;TUPY3,PETR4,keltner_w10_atr14x1_exit1_tw0,0.6800388560690833,0.1937514447320523,-0.2114361947247875,0.7351088303859585,-0.0550699743168752,GGBR3,keltner_w40_atr20x3_exit1_tw200,0.3050569924841619,0.0951427102535851,-0.1086649869128221,0.1339645703508598,0.1710924221333021
4h_short,range_expansion_breakout,SUPEROU,2168,7,260,4,MLAS3;PETR4;TUPY3;VALE3,PETR4,range_expansion_breakout,0.7945069142844332,0.2209151350933407,-0.1864140247054179,0.7351088303859585,0.0593980838984746,PETR4,range_expansion_breakout,0.7945069142844332,0.2209151350933407,-0.1864140247054179,0.7351088303859585,0.0593980838984746
4h_short,rsi2_trend_reversion,SUPEROU,671,7,143,2,MLAS3;TUPY3,MLAS3,rsi2_trend_reversion,0.6151973554605767,0.177819871271307,-0.1740770581082875,-0.4497563388397084,1.0649536943002853,MLAS3,rsi2_trend_reversion,0.6151973554605767,0.177819871271307,-0.1740770581082875,-0.4497563388397084,1.0649536943002853
4h_short,rsi_ibs_reversion,SUPEROU,896,7,229,2,MLAS3;TUPY3,MLAS3,rsi_ibs_reversion,0.3591706646554864,0.1104365864117447,-0.1772609861959938,-0.4497563388397084,0.8089270034951949,MLAS3,rsi_ibs_reversion,0.3591706646554864,0.1104365864117447,-0.1772609861959938,-0.4497563388397084,0.8089270034951949
4h_short,rsi_reversion,SUPEROU,28,7,19,7,BBSE3;GGBR3;LOGG3;MLAS3;PETR4;TUPY3;VALE3,LOGG3,legacy_rsi_21_45_70,1.2245489537456518,0.313810808575514,-0.2639989203917663,0.8903220985301981,0.3342268552154537,LOGG3,legacy_rsi_21_45_70,1.2245489537456518,0.313810808575514,-0.2639989203917663,0.8903220985301981,0.3342268552154537
4h_short,rsi_reversion_atr,SUPEROU,14,7,9,5,GGBR3;LOGG3;MLAS3;TUPY3;VALE3,LOGG3,legacy_rsi_atr_21_45_75,1.1230671970092607,0.293036407697006,-0.2704254686075668,0.8903220985301981,0.2327450984790626,LOGG3,legacy_rsi_atr_21_45_75,1.1230671970092607,0.293036407697006,-0.2704254686075668,0.8903220985301981,0.2327450984790626
4h_short,rsi_reversion_hold,SUPEROU,14,7,3,2,BBSE3;MLAS3,LOGG3,legacy_rsi_hold_7_50_85_40,0.868164326880877,0.2377955896072503,-0.3109103168948752,0.8903220985301981,-0.022157771649321,BBSE3,legacy_rsi_hold_14_50_85_40,0.7169055809254132,0.202629615719355,-0.2204537009163188,0.5874129266861712,0.129492654239242
4h_short,sma_cross,SUPEROU,112,7,26,2,MLAS3;TUPY3,BBSE3,sma_cross_50_150,0.4543327627487008,0.1363866422076971,-0.1268486184363485,0.5874129266861712,-0.1330801639374703,TUPY3,sma_cross_50_200,-0.0515589615833057,-0.0179075768229135,-0.3370389124881519,-0.3430354101888399,0.2914764486055341
4h_short,supertrend_follow,SUPEROU,140,7,36,3,GGBR3;MLAS3;TUPY3,PETR4,supertrend_10_3,0.6235903453043945,0.1799054891298395,-0.2255832492239873,0.7351088303859585,-0.111518485081564,GGBR3,supertrend_7_1.5,0.4249345933545143,0.1284925332949458,-0.1928517903367189,0.1339645703508598,0.2909700230036545
