strategy,weights,short_window,vol_window,trend_window,full_cagr,full_return,full_mdd,full_sharpe,test_cagr,test_return,test_mdd,test_sharpe,trades
top1_short21_riskadj_rocfilter_w1_1_2_trend0_vol10_posscore,1_1_2,21,10,0,0.1460363588301361,36.22581643522925,-0.6215295403271193,0.5863054159864712,0.2572876534760906,5.299245404960661,-0.2998672133763701,0.8793197257996241,391
top1_short21_riskadj_rocfilter_w1_1_2_trend200_vol10_posscore,1_1_2,21,10,200,0.16000315990453973,50.338152993200616,-0.6404346455499388,0.6275553244952724,0.256595435532851,5.271421299145439,-0.2957254621698192,0.8782507638565367,364
top1_short21_riskadj_rocfilter_w1_1_1_trend200_vol10_posscore,1_1_1,21,10,200,0.15196009718703185,41.683272359640405,-0.6138133967418266,0.6051365336182921,0.256595435532851,5.271421299145439,-0.2957254621698192,0.8782507638565367,362
top1_short21_riskadj_rocfilter_w2_1_1_trend200_vol10_posscore,2_1_1,21,10,200,0.12941810891095162,24.264686448214405,-0.6404265245698776,0.5444333031635036,0.256595435532851,5.271421299145439,-0.2957254621698192,0.8782507638565367,360
top1_short30_riskadj_rocfilter_w1_1_1_trend0_vol16_posscore,1_1_1,30,16,0,0.09097515446950544,9.079216247312342,-0.67231098202517,0.4355563624902263,0.25623915088549754,5.257142222382365,-0.38329026000483,0.9094611674184848,351
top1_short22_riskadj_rocfilter_w1_1_1_trend0_vol12_posscore,1_1_1,22,12,0,0.12852072860225938,23.737384401948496,-0.7437489973064526,0.5395419280099217,0.2552094699352405,5.216034847220809,-0.29149112717899106,0.893264099676409,381
top1_short26_riskadj_rocfilter_w2_1_1_trend0_vol18_posscore,2_1_1,26,18,0,0.12859273055252385,23.77929901828148,-0.6697451117940894,0.5374627432398614,0.251791160010181,5.081258024150637,-0.36600542902719935,0.8736018112306418,348
top1_short20_riskadj_rocfilter_w2_1_1_trend0_vol21_posscore,2_1_1,20,21,0,0.10344120185313432,12.625755819503048,-0.7662735846564316,0.4651581004763229,0.2460624227176329,4.861117476762982,-0.30882092444432985,0.8501996565904363,376
top1_short21_riskadj_rocfilter_w1_1_2_trend0_vol14_posscore,1_1_2,21,14,0,0.16564873721194817,57.396992953136355,-0.4835177127768737,0.6482915956322118,0.2457440323433131,4.849089962303744,-0.28938930728251444,0.8873456853823102,385
top1_short21_riskadj_rocfilter_w1_1_2_trend0_vol21_posscore,1_1_2,21,21,0,0.14047878509941447,31.72076187279567,-0.6458900882693694,0.571342623275573,0.24522073405619893,4.82936879215986,-0.28938930728251444,0.8770554817308783,391
