ticker,label,strategy,params,year,start,end,strategy_return,buy_hold_return,excess_return,trades,exposure,start_equity,end_equity,bh_start_equity,bh_end_equity
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2017,2017-01-02,2017-12-29,0.41838204529563017,0.35202080547764303,0.06636123981798714,6,0.8346456692913385,116960.02931693906,165894.0056003969,202402.8029773616,273652.8007123851
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2018,2018-01-02,2018-12-28,0.18646509292096902,0.1249999496941423,0.061465143226826724,3,0.9146341463414634,174052.39387554338,206507.08967266366,287111.1461255931,323000.02494791977
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2019,2019-01-02,2019-12-30,0.412577487160223,0.3776167135306676,0.03496077362955541,5,0.8548387096774194,206507.08967266366,291707.2658105821,327750.0385377788,451513.93094996444
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2020,2020-01-02,2020-12-30,0.9196328242999738,0.1503120013433703,0.7693208229566035,2,0.9112903225806451,300572.42708167736,576988.6971054983,465236.1325357341,535166.7067144298
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2021,2021-01-04,2021-12-30,0.06328996701381984,0.05990565741564158,0.003384309598178259,6,0.5870445344129555,603163.3957901907,641337.5872136954,559444.4552991771,592958.3431814098
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2022,2022-01-03,2022-12-29,0.07715379657840615,0.0951742187792266,-0.018020422200820452,6,0.852,638768.8827268485,688052.3271653715,590583.3522413158,646791.6614148997
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2023,2023-01-02,2023-12-28,-0.1387859808875752,-0.05064990577488204,-0.08813607511269317,8,0.7983870967741935,691140.3272950712,595219.739040465,649694.4915388011,616787.526759901
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2024,2024-01-02,2024-12-30,-0.0007964265329902798,0.00927274084584484,-0.01006916737883512,7,0.8645418326693227,588130.6057320543,587662.2029127857,609583.3431814098,615235.8515466746
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2025,2025-01-02,2025-12-30,0.09224201703895152,0.08456152108633797,0.007680495952613553,3,0.896,587662.2029127857,641869.3498470146,601603.356620222,652475.8515466746
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2026,2026-01-02,2026-07-17,0.21911684635428652,0.17275355099655543,0.046363295357731094,4,0.8074074074074075,641869.3498470146,782513.7375569687,652475.8515466746,765193.3718408641
