rank,trading_strategy,strategy_params,management_strategy,start,end,candles,trades,exposure,avg_positions,initial_equity,final_equity,total_return,cagr,average_annual_return,max_drawdown,annual_volatility,sharpe,turnover
64,buy_and_hold,,top2_roc_combo_risk_adjusted_roc12_6_3_w2_1_1_skip0_trend200_vol63_score_inv_vol_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,204,0.9226441631504922,1.6783872480075013,10000.0,45866.87570554748,3.586687570554748,0.19438192058080617,0.24360674482749264,-0.587283232052318,0.29662288262318626,0.748695095506394,57.50943167919861
65,buy_and_hold,,top1_risk_adjusted_lb126_skip0_trend200_vol63_equal_monthly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,75,0.9615564932020628,0.9714017815283638,10000.0,45825.52698412699,3.582552698412699,0.19425630381432568,0.3216551173280436,-0.6630833768841926,0.3686596369069202,0.6675299294762603,72.91664848660098
66,buy_and_hold,,top1_momentum_lb21_skip0_trend200_vol21_equal_weekly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,391,0.9221753398968588,0.93342709798406,10000.0,45659.1705253241,3.56591705253241,0.19374990158953964,0.2968091069457698,-0.6473208041164001,0.3763346000546201,0.6580058919019658,382.08419459923834
67,buy_and_hold,,top1_momentum_lb21_skip0_trend200_vol63_equal_weekly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,391,0.9221753398968588,0.93342709798406,10000.0,45659.1705253241,3.56591705253241,0.19374990158953964,0.2968091069457698,-0.6473208041164001,0.3763346000546201,0.6580058919019658,382.08419459923834
68,buy_and_hold,,top2_roc_combo_roc12_6_3_w2_1_1_skip0_trend200_vol63_inv_vol_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,217,0.9714017815283638,1.8748241912798875,10000.0,45425.65114388491,3.5425651143884913,0.1930362933658316,0.23379732248088494,-0.5681059378545046,0.2970363192429905,0.7443492049526359,50.65058391324658
69,buy_and_hold,,top1_roc_combo_risk_adjusted_roc12_6_3_w1_1_2_skip0_trend0_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,71,0.9226441631504922,0.9315518049695265,10000.0,45328.20777777776,3.5328207777777756,0.19273755906758083,0.32484641986817286,-0.6589737610192332,0.36250338402774207,0.6689845059447938,68.94730870552237
70,buy_and_hold,,top1_roc_combo_risk_adjusted_roc12_6_3_w1_1_2_skip0_trend200_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,71,0.9226441631504922,0.9315518049695265,10000.0,45328.20777777776,3.5328207777777756,0.19273755906758083,0.32484641986817286,-0.6589737610192332,0.36250338402774207,0.6689845059447938,68.94730870552237
71,buy_and_hold,,top1_roc_combo_roc12_6_3_w2_1_1_skip0_trend0_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,61,0.9901547116736991,1.0,10000.0,45155.97423874898,3.5155974238748984,0.19220814857274182,0.2906254351530514,-0.6636721391512128,0.41217989200763483,0.6332011457555182,58.92764230921387
72,buy_and_hold,,top1_risk_adjusted_lb126_skip0_trend200_vol63_equal_weekly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,174,0.9582747304266291,0.9690576652601969,10000.0,45149.63746031746,3.5149637460317464,0.19218863661786867,0.2843978143533716,-0.5269919968369733,0.35437705187261664,0.6746199068132952,170.73998623537264
73,buy_and_hold,,top2_roc_combo_risk_adjusted_roc12_6_3_w2_1_1_skip0_trend200_vol63_inv_vol_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,223,0.9714017815283638,1.896390060947023,10000.0,45068.353324844444,3.506835332484444,0.19193813497884293,0.2270690065040563,-0.5596235088080982,0.29047628228541406,0.751312613115524,53.278344685526136
