date,equity,cash,invested_weight,positions,selected,trade_count,turnover,dividend_cash
2008-03-03,104804.04052851122,13.577283119375352,0.9998704507664885,1,GGBR3,1,0.9978732663400706,0.0
2008-03-04,103963.16922686022,13.577283119375352,0.9998694029508686,1,GGBR3,0,0.0,0.0
2008-03-05,106599.40818903368,13.577283119375352,0.999872632659505,1,GGBR3,0,0.0,0.0
2008-03-06,103417.74273607653,13.577283119375352,0.9998687141803702,1,GGBR3,0,0.0,0.0
2008-03-07,100463.33832094591,13.577283119375352,0.999864853355002,1,GGBR3,0,0.0,0.0
2008-03-10,99713.37143442553,13.577283119375352,0.999863836886427,1,GGBR3,0,0.0,0.0
2008-03-11,103417.74273607653,13.577283119375352,0.9998687141803702,1,GGBR3,0,0.0,0.0
2008-03-12,103667.73533937853,13.577283119375352,0.9998690307734135,1,GGBR3,0,0.0,0.0
2008-03-13,106826.66922686022,13.577283119375352,0.9998729036183789,1,GGBR3,0,0.0,0.0
2008-03-14,107053.93026468676,13.577283119375352,0.9998731734268345,1,GGBR3,0,0.0,0.0
2008-03-17,105826.72066042345,13.577283119375352,0.9998717026944174,1,GGBR3,0,0.0,0.0
2008-03-18,109076.55896303576,13.577283119375352,0.9998755251976369,1,GGBR3,0,0.0,0.0
2008-03-19,102281.42662355822,13.577283119375352,0.9998672556341109,1,GGBR3,0,0.0,0.0
2008-03-20,102963.22066042345,13.577283119375352,0.999868134630674,1,GGBR3,0,0.0,0.0
2008-03-24,102281.42662355822,13.577283119375352,0.9998672556341109,1,GGBR3,0,0.0,0.0
2008-03-25,105235.83103868883,13.577283119375352,0.9998709823167132,1,GGBR3,0,0.0,0.0
2008-03-26,104554.04792520922,13.577283119375352,0.9998701410094701,1,GGBR3,0,0.0,0.0
2008-03-27,101599.6435100786,13.577283119375352,0.9998663648547347,1,GGBR3,0,0.0,0.0
2008-03-28,104531.32728311938,13.577283119375352,0.9998701127836768,1,GGBR3,0,0.0,0.0
2008-03-31,102645.04428408068,13.577283119375352,0.9998677258779118,1,GGBR3,0,0.0,0.0
2008-04-01,103499.38084339316,103499.38084339316,0.0,0,,1,0.9993692109446508,0.0
2008-04-02,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-03,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-04,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-07,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-08,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-09,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-10,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-11,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-14,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-15,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-16,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-17,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-18,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-22,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-23,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-24,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-25,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-28,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-29,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-04-30,103499.38084339316,103499.38084339316,0.0,0,,0,0.0,0.0
2008-05-02,100439.2583504741,34.2583504741051,0.9996589147407424,1,PETR4,1,0.9976736521602663,0.0
2008-05-05,102424.00478754686,34.2583504741051,0.9996655242045538,1,PETR4,0,0.0,0.0
2008-05-06,105109.2583504741,34.2583504741051,0.9996740691447001,1,PETR4,0,0.0,0.0
2008-05-07,104759.00478754686,34.2583504741051,0.999672979420303,1,PETR4,0,0.0,0.0
2008-05-08,105109.2583504741,34.2583504741051,0.9996740691447001,1,PETR4,0,0.0,0.0
2008-05-09,106673.70407496141,34.2583504741051,0.9996788491524581,1,PETR4,0,0.0,0.0
2008-05-12,106860.5083504741,34.2583504741051,0.9996794105605249,1,PETR4,0,0.0,0.0
2008-05-13,106860.5083504741,34.2583504741051,0.9996794105605249,1,PETR4,0,0.0,0.0
2008-05-14,108144.75656901048,34.2583504741051,0.9996832176467821,1,PETR4,0,0.0,0.0
2008-05-15,110036.109775645,34.2583504741051,0.9996886626531604,1,PETR4,0,0.0,0.0
2008-05-16,112464.51191340135,34.2583504741051,0.9996953852384965,1,PETR4,0,0.0,0.0
2008-05-19,116784.2583504741,34.2583504741051,0.9997066526691355,1,PETR4,0,0.0,0.0
2008-05-20,120660.35799418138,34.2583504741051,0.9997160761741172,1,PETR4,0,0.0,0.0
2008-05-21,122645.10443125413,34.2583504741051,0.9997206708687397,1,PETR4,0,0.0,0.0
2008-05-23,118091.86155710863,34.2583504741051,0.9997099008346351,1,PETR4,0,0.0,0.0
2008-05-26,120450.20763788866,34.2583504741051,0.9997155808101461,1,PETR4,0,0.0,0.0
2008-05-27,116550.76191340135,34.2583504741051,0.9997060649805142,1,PETR4,0,0.0,0.0
2008-05-28,119095.91226969408,34.2583504741051,0.9997123465463993,1,PETR4,0,0.0,0.0
2008-05-29,119095.91226969408,34.2583504741051,0.9997123465463993,1,PETR4,0,0.0,0.0
2008-05-30,114449.2583504741,34.2583504741051,0.99970066778092,1,PETR4,0,0.0,0.0
2008-06-02,119191.31480337378,22.2610275864281,0.9998132328045617,1,GGBR3,2,1.9945364584231742,0.0
2008-06-03,118437.64238668677,22.2610275864281,0.9998120443202192,1,GGBR3,0,0.0,0.0
2008-06-04,117917.25979543921,22.2610275864281,0.9998112148499291,1,GGBR3,0,0.0,0.0
2008-06-05,114956.42481924292,22.2610275864281,0.9998063524711956,1,GGBR3,0,0.0,0.0
2008-06-06,121093.42728353736,22.2610275864281,0.9998161665080773,1,GGBR3,0,0.0,0.0
2008-06-09,120698.64238668677,22.2610275864281,0.9998155652197387,1,GGBR3,0,0.0,0.0
2008-06-10,119496.36488271948,22.2610275864281,0.9998137095834817,1,GGBR3,0,0.0,0.0
2008-06-11,116553.47859503028,22.2610275864281,0.9998090058927904,1,GGBR3,0,0.0,0.0
2008-06-12,115099.97982717749,22.2610275864281,0.9998065939922852,1,GGBR3,0,0.0,0.0
2008-06-13,115656.25979543921,22.2610275864281,0.9998075242306314,1,GGBR3,0,0.0,0.0
2008-06-16,116481.70109106299,22.2610275864281,0.9998088881997952,1,GGBR3,0,0.0,0.0
2008-06-17,118383.81357122656,22.2610275864281,0.9998119588572552,1,GGBR3,0,0.0,0.0
2008-06-18,117881.37104345557,22.2610275864281,0.9998111573746609,1,GGBR3,0,0.0,0.0
2008-06-19,117378.91989065406,22.2610275864281,0.9998103490166108,1,GGBR3,0,0.0,0.0
2008-06-20,110524.14238668677,22.2610275864281,0.9997985867421749,1,GGBR3,0,0.0,0.0
2008-06-23,108765.59353948828,22.2610275864281,0.999795330243122,1,GGBR3,0,0.0,0.0
2008-06-24,106432.816035521,22.2610275864281,0.9997908443240006,1,GGBR3,0,0.0,0.0
2008-06-25,110452.36488271948,22.2610275864281,0.9997984558537061,1,GGBR3,0,0.0,0.0
2008-06-26,107330.03483511206,22.2610275864281,0.9997925927479607,1,GGBR3,0,0.0,0.0
2008-06-27,107150.59107519385,22.2610275864281,0.9997922454056197,1,GGBR3,0,0.0,0.0
2008-06-30,112031.47859503028,22.2610275864281,0.9998012966724567,1,GGBR3,0,0.0,0.0
2008-07-01,109424.61966734438,109424.61966734438,0.0,0,,1,0.9992971726478862,0.0
2008-07-02,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-03,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-04,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-07,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-08,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-10,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-11,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-14,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-15,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-16,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-17,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-18,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-21,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-22,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-23,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-24,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-25,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-28,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-29,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-30,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-07-31,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-01,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-04,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-05,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-06,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-07,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-08,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-11,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-12,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-13,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-14,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-15,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-18,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-19,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-20,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-21,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-22,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-25,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-26,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-27,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-28,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-08-29,109424.61966734438,109424.61966734438,0.0,0,,0,0.0,0.0
2008-09-01,109151.64564402642,5.694697218554211,0.9999478276558731,1,TUPY3,1,0.9979520536992098,0.0
2008-09-02,99595.93996317925,5.694697218554211,0.9999428219943437,1,TUPY3,0,0.0,0.0
2008-09-03,102326.14327700676,5.694697218554211,0.9999443475827762,1,TUPY3,0,0.0,0.0
2008-09-04,97982.64446051659,5.694697218554211,0.9999418805519089,1,TUPY3,0,0.0,0.0
2008-09-05,98044.69588072838,5.694697218554211,0.9999419173350745,1,TUPY3,0,0.0,0.0
2008-09-08,97982.64446051659,5.694697218554211,0.9999418805519089,1,TUPY3,0,0.0,0.0
2008-09-09,97982.64446051659,5.694697218554211,0.9999418805519089,1,TUPY3,0,0.0,0.0
2008-09-10,97982.64446051659,5.694697218554211,0.9999418805519089,1,TUPY3,0,0.0,0.0
2008-09-11,96183.19469721855,5.694697218554211,0.9999407932203076,1,TUPY3,0,0.0,0.0
2008-09-12,94942.19588072838,5.694697218554211,0.9999400193226444,1,TUPY3,0,0.0,0.0
2008-09-15,95562.6923301989,5.694697218554211,0.9999404087821335,1,TUPY3,0,0.0,0.0
2008-09-16,95190.39564402642,5.694697218554211,0.9999401757164678,1,TUPY3,0,0.0,0.0
2008-09-17,86193.14682753624,5.694697218554211,0.9999339309744666,1,TUPY3,0,0.0,0.0
2008-09-18,78560.9937504107,5.694697218554211,0.9999275124085543,1,TUPY3,0,0.0,0.0
2008-09-19,83959.3430403048,5.694697218554211,0.9999321731565263,1,TUPY3,0,0.0,0.0
2008-09-22,84083.44588072838,5.694697218554211,0.9999322732654579,1,TUPY3,0,0.0,0.0
