date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price,strategy_dividend_cash,benchmark_dividend_cash,strategy_split_ratio,benchmark_split_ratio
2023-05-22,14623.615059000002,14623.615059000002,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-05-29,15657.794963937746,15657.794963937746,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-06-05,17040.854536157596,17040.854536157596,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-06-12,15445.97486887549,15445.97486887549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-06-19,16592.294963937748,16592.294963937748,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-06-26,16112.584678750978,16112.584678750978,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-07-03,16610.9853917179,16610.9853917179,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-07-10,15221.694488626466,15221.694488626466,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-07-17,15371.21553431128,15371.21553431128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-07-24,14717.064821344362,14717.064821344362,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-07-31,14312.115059000002,14312.115059000002,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-08-07,13932.084678750978,13932.084678750978,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-08-14,13253.014583688722,13253.014583688722,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-08-21,13346.46553431128,13346.46553431128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-08-28,13589.435154062257,13589.435154062257,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-09-04,13452.375581842409,13452.375581842409,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-09-11,14567.544963937746,14567.544963937746,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-09-18,13963.235391717897,13963.235391717897,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-09-25,14224.895439249025,14224.895439249025,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-10-02,13446.145439249025,13446.145439249025,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-10-09,13483.52510653113,13483.52510653113,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-10-16,13427.455011468874,13427.455011468874,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-10-23,14380.645439249025,14380.645439249025,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-10-30,16143.735391717897,16143.735391717897,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-11-06,17015.93515406226,17015.93515406226,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-11-13,16386.705011468875,16386.705011468875,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-11-20,15595.494726282106,15595.494726282106,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-11-27,16729.354536157596,16729.354536157596,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-04,15688.944488626466,15688.944488626466,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-11,15869.615059000002,15869.615059000002,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-18,15364.985391717897,15364.985391717897,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-25,15745.014583688722,15745.014583688722,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-01-01,14897.735391717897,14897.735391717897,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-01-08,15589.264583688722,15589.264583688722,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-01-15,14598.694488626466,14598.694488626466,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-01-22,14393.104536157594,14393.104536157594,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-01-29,14305.884916406618,14305.884916406618,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-02-05,14841.665296655641,14841.665296655641,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-02-12,14715.585286311281,14715.585286311281,1,1,,,0.0,0.0,434.619752,434.619752,1.0,1.0
2024-02-19,14977.24533384241,14977.24533384241,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-02-26,15637.625001124514,15637.625001124514,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-03-04,15924.204430750979,15924.204430750979,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-03-11,15787.14485853113,15787.14485853113,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-03-18,16185.864478282107,16185.864478282107,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-03-25,16204.554906062258,16204.554906062258,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-04-01,15656.314240626467,15656.314240626467,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-04-08,15849.44509618677,15849.44509618677,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-04-15,15488.105143717898,15488.105143717898,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-04-22,15537.94509618677,15537.94509618677,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-04-29,16241.934573344362,16241.934573344362,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-05-06,15868.134335688723,15868.134335688723,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-05-13,16117.335286311281,16117.335286311281,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-05-20,15681.234811000002,15681.234811000002,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-05-27,15481.875001124514,15481.875001124514,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-06-03,15643.855143717898,15643.855143717898,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-06-10,15949.125001124514,15949.125001124514,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-06-17,16235.704430750979,16235.704430750979,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-06-24,16522.28504865564,16522.28504865564,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-07-01,17388.25466840662,17388.25466840662,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-07-08,16547.20443075098,16547.20443075098,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-07-15,16397.684573344362,16397.684573344362,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-07-22,15338.585286311281,15338.585286311281,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-07-29,15986.504668406618,15986.504668406618,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-08-05,16646.884335688723,16646.884335688723,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-08-12,16808.864478282107,16808.864478282107,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-08-19,17282.34462087549,17282.34462087549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-08-26,16553.434573344362,16553.434573344362,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-09-02,16366.535048655642,16366.535048655642,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-09-09,16397.684573344362,16397.684573344362,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-09-16,16073.724288157595,16073.724288157595,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-09-23,15899.285048655642,15899.285048655642,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-09-30,16441.29438321985,16441.29438321985,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-10-07,15575.324763468874,15575.324763468874,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-10-14,15675.004668406618,15675.004668406618,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-10-21,15874.364478282107,15874.364478282107,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-10-28,15930.434573344362,15930.434573344362,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-11-04,16528.515191249026,16528.515191249026,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-11-11,15768.454430750979,15768.454430750979,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-11-18,15494.335286311281,15494.335286311281,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-11-25,14559.835286311281,14559.835286311281,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-12-02,15425.804906062258,15425.804906062258,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-12-09,14969.56408675098,14969.56408675098,1,1,,,0.0,0.0,1070.109656,1070.109656,1.0,1.0
2024-12-16,14271.80475218677,14271.80475218677,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-12-23,14427.55475218677,14427.55475218677,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2024-12-30,14246.884181813235,14246.884181813235,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-06,14271.80475218677,14271.80475218677,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-13,14720.364324406619,14720.364324406619,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-20,13355.993991688723,13355.993991688723,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
